Name, Events, Parent, Total[%], Mean, CV[%], Median
All Events, 100000, 0, 100, , , 
  FSC-A, , , , 18817.3507491239, 164.214885930094, 15996.7234253275
  BSC-A, , , , 277699.495369168, 84.8034994107369, 227719.762365756
  FL1-A-Compensated, , , , -1.65401068826947, -1301.94103030336, -22.3675842912472
  S, 95114, 95.114, 95.114, , , 
    T, 86158, 90.5839308619131, 86.158, , , 
      U, 86158, 100, 86.158, , , 
        Fluorescent Cells, 0, 0, 0, , , 
        AC, 86150, 99.9907147333968, 86.15, , , 
        AD, 1, 0.00116065832540217, 0.001, , , 
        positive_control, 2077, 2.4106873418603, 2.077, , , 
        negative_control, 84085, 97.5939552914413, 84.085, , , 
  AA-Q1, 0, 0, 0, , , 
  AA-Q2, 49, 0.049, 0.049, , , 
  AA-Q3, 10168, 10.168, 10.168, , , 
  AA-Q4, 89783, 89.783, 89.783, , , 
  AB-Q1, 0, 0, 0, , , 
  AB-Q2, 0, 0, 0, , , 
  AB-Q3, 16372, 16.372, 16.372, , , 
  AB-Q4, 83628, 83.628, 83.628, , , 
  AH, 88827, 88.827, 88.827, , , 
